student_id,firstname,middlename,lastname,email,program,department,year_level,gender,course_code,classification
202500001,Michael,E.,Taylor,michael.taylor@unc.edu.ph,BSCS,SCIS,3rd Year,Male,TECH101,Re-Enrollee
202500002,John,J.,Jones,john.jones@unc.edu.ph,BSIT,SCIS,1st Year,Female,PC103,Re-Enrollee
202500003,David,F.,Wilson,david.wilson@unc.edu.ph,BSIT,SCIS,3rd Year,Male,SP401,Transferee
202500004,Emily,H.,Miller,emily.miller@unc.edu.ph,BSIT,SCIS,2nd Year,Male,PC103,Re-Enrollee
202500005,Alex,A.,Moore,alex.moore@unc.edu.ph,ACT,SCIS,4th Year,Male,PNCSIT102,Re-Enrollee
202500006,Jane,H.,Johnson,jane.johnson@unc.edu.ph,BSIT,SCIS,4th Year,Female,SIP102,Re-Enrollee
202500007,Michael,H.,Jones,michael.jones@unc.edu.ph,BLIS,SCIS,3rd Year,Male,SIP102,Re-Enrollee
202500008,Emily,F.,Wilson,emily.wilson@unc.edu.ph,BSCS,SCIS,3rd Year,Female,QM202,Transferee
202500009,Laura,E.,Brown,laura.brown@unc.edu.ph,BLIS,SCIS,3rd Year,Female,TECH103,Transferee
202500010,Michael,I.,Taylor,michael.taylor@unc.edu.ph,BSIT,SCIS,3rd Year,Female,QM202,Transferee
202500011,John,F.,Smith,john.smith@unc.edu.ph,ACT,SCIS,3rd Year,Male,TECH103,Re-Enrollee
202500012,Alex,G.,Johnson,alex.johnson@unc.edu.ph,ACT,SCIS,2nd Year,Female,TECH103,Re-Enrollee
202500013,Sarah,J.,Moore,sarah.moore@unc.edu.ph,ACT,SCIS,1st Year,Female,PC103,Transferee
202500014,Michael,F.,Williams,michael.williams@unc.edu.ph,BSIT,SCIS,1st Year,Female,SIP102,Re-Enrollee
202500015,Sarah,A.,Moore,sarah.moore@unc.edu.ph,BLIS,SCIS,2nd Year,Female,IA101,Transferee
202500016,Jane,E.,Wilson,jane.wilson@unc.edu.ph,BSIT,SCIS,4th Year,Female,TECH103,Transferee
202500017,David,E.,Davis,david.davis@unc.edu.ph,BSIT,SCIS,3rd Year,Male,DBM302,Transferee
202500018,Sophia,C.,Taylor,sophia.taylor@unc.edu.ph,BLIS,SCIS,3rd Year,Female,IA102,Transferee
202500019,Laura,F.,Jones,laura.jones@unc.edu.ph,BLIS,SCIS,3rd Year,Female,CAP402,Transferee
202500020,John,A.,Jones,john.jones@unc.edu.ph,BSCS,SCIS,4th Year,Male,IP201,Re-Enrollee
202500021,David,D.,Smith,david.smith@unc.edu.ph,BSCS,SCIS,3rd Year,Male,DBM303,Re-Enrollee
202500022,Daniel,F.,Johnson,daniel.johnson@unc.edu.ph,BLIS,SCIS,2nd Year,Male,SIP101,Re-Enrollee
202500023,Alex,A.,Williams,alex.williams@unc.edu.ph,ACT,SCIS,2nd Year,Female,IP201,Re-Enrollee
202500024,Michael,H.,Jones,michael.jones@unc.edu.ph,BLIS,SCIS,1st Year,Male,RMLIS301,Transferee
202500025,Sophia,B.,Davis,sophia.davis@unc.edu.ph,ACT,SCIS,2nd Year,Male,IRS102,Re-Enrollee
202500026,Alex,H.,Davis,alex.davis@unc.edu.ph,BSCS,SCIS,3rd Year,Female,QM202,Transferee
202500027,Sophia,G.,Jones,sophia.jones@unc.edu.ph,BLIS,SCIS,1st Year,Male,CAP402,Re-Enrollee
202500028,Alex,D.,Johnson,alex.johnson@unc.edu.ph,ACT,SCIS,4th Year,Male,IA102,Transferee
202500029,Alex,J.,Miller,alex.miller@unc.edu.ph,BSCS,SCIS,2nd Year,Female,CAP402,Re-Enrollee
202500030,Daniel,J.,Wilson,daniel.wilson@unc.edu.ph,BLIS,SCIS,2nd Year,Female,PNCSIT101,Re-Enrollee
202500031,Alex,G.,Smith,alex.smith@unc.edu.ph,ACT,SCIS,1st Year,Female,CAP402,Transferee
202500032,John,B.,Jones,john.jones@unc.edu.ph,BSIT,SCIS,3rd Year,Male,CMIR202,Transferee
202500033,Sarah,C.,Williams,sarah.williams@unc.edu.ph,BSIT,SCIS,3rd Year,Female,PC102,Re-Enrollee
202500034,Sophia,A.,Wilson,sophia.wilson@unc.edu.ph,ACT,SCIS,1st Year,Male,SIP102,Re-Enrollee
202500035,Sophia,C.,Miller,sophia.miller@unc.edu.ph,BLIS,SCIS,3rd Year,Female,QM201,Transferee
202500036,Alex,H.,Brown,alex.brown@unc.edu.ph,BSCS,SCIS,1st Year,Male,CAP402,Transferee
202500037,Daniel,G.,Wilson,daniel.wilson@unc.edu.ph,BLIS,SCIS,4th Year,Male,QM202,Re-Enrollee
202500038,Michael,E.,Moore,michael.moore@unc.edu.ph,BSCS,SCIS,3rd Year,Female,PC103,Re-Enrollee
202500039,Sophia,E.,Brown,sophia.brown@unc.edu.ph,BLIS,SCIS,4th Year,Male,IA102,Re-Enrollee
202500040,Sophia,A.,Davis,sophia.davis@unc.edu.ph,BSCS,SCIS,3rd Year,Male,TECH103,Re-Enrollee
202500041,Laura,G.,Moore,laura.moore@unc.edu.ph,BSIT,SCIS,3rd Year,Male,SIP102,Re-Enrollee
202500042,John,A.,Wilson,john.wilson@unc.edu.ph,BSIT,SCIS,1st Year,Male,SP401,Re-Enrollee
202500043,Daniel,D.,Taylor,daniel.taylor@unc.edu.ph,BSCS,SCIS,1st Year,Male,PC101,Transferee
202500044,Daniel,H.,Brown,daniel.brown@unc.edu.ph,BSIT,SCIS,4th Year,Male,CMIR202,Transferee
202500045,John,C.,Wilson,john.wilson@unc.edu.ph,BLIS,SCIS,3rd Year,Male,PNCSIT101,Re-Enrollee
202500046,John,D.,Miller,john.miller@unc.edu.ph,BSCS,SCIS,3rd Year,Male,DBM301,Re-Enrollee
202500047,Alex,C.,Moore,alex.moore@unc.edu.ph,BSIT,SCIS,2nd Year,Male,RMLIS301,Transferee
202500048,Alex,E.,Jones,alex.jones@unc.edu.ph,BSIT,SCIS,1st Year,Male,PNCSIT101,Transferee
202500049,Sarah,C.,Davis,sarah.davis@unc.edu.ph,BLIS,SCIS,1st Year,Male,QM201,Transferee
202500050,Michael,H.,Jones,michael.jones@unc.edu.ph,BLIS,SCIS,3rd Year,Male,PC102,Transferee
202500051,Sarah,G.,Moore,sarah.moore@unc.edu.ph,BSIT,SCIS,2nd Year,Female,SIP103,Transferee
202500052,Daniel,G.,Taylor,daniel.taylor@unc.edu.ph,BLIS,SCIS,3rd Year,Female,LIS101,Transferee
202500053,Alex,D.,Taylor,alex.taylor@unc.edu.ph,BSCS,SCIS,4th Year,Female,CAP402,Re-Enrollee
202500054,Daniel,A.,Moore,daniel.moore@unc.edu.ph,BLIS,SCIS,2nd Year,Male,PC101,Re-Enrollee
202500055,Sarah,F.,Davis,sarah.davis@unc.edu.ph,BSCS,SCIS,4th Year,Male,DBM302,Re-Enrollee
202500056,Michael,C.,Wilson,michael.wilson@unc.edu.ph,ACT,SCIS,1st Year,Female,PC101,Transferee
202500057,Emily,J.,Moore,emily.moore@unc.edu.ph,BSCS,SCIS,1st Year,Female,IRS101,Re-Enrollee
202500058,David,F.,Miller,david.miller@unc.edu.ph,BLIS,SCIS,3rd Year,Male,DBM303,Transferee
202500059,Jane,I.,Miller,jane.miller@unc.edu.ph,BSIT,SCIS,4th Year,Female,DBM302,Re-Enrollee
202500060,Laura,D.,Brown,laura.brown@unc.edu.ph,BSIT,SCIS,2nd Year,Female,DBM303,Transferee
202500061,Michael,F.,Taylor,michael.taylor@unc.edu.ph,BSCS,SCIS,1st Year,Female,DBM303,Transferee
202500062,Emily,A.,Wilson,emily.wilson@unc.edu.ph,BSCS,SCIS,1st Year,Female,PC103,Transferee
